id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
53458,False,Karaj,Saturday 05AM,اپل 6 حافظه 16 g رنگ گلد اصل lla سالم و تمیز به شرط لوازم کامل و فابریکی فوری فوری فروشی به قیمت,1,NA,mobile,1480000,apple 6,NA,NA
53466,True,Mashhad,Saturday 09AM,سلام گوشی فوق العاده کم کار و تمیز هست. از دیجی کالا گرفتم یک ماه کار کرده.با گلس و گارد و دو تا گلس اضافه هست.,3,NA,mobile,1600000,گوشی اچ تی سی10,NA,NA
53564,True,Karaj,Saturday 10PM,"۱-ایفون ۶اس  ۱۶ گیگ گری(مشکی) سه ماه کارکرد از روی فاکتور  بدون کوچیکترین خش یا نقطه، با گلس ضد ضربه و دو  تا قاب که ارزششون ۱۰۰ تومنه .
قیمت گوشی ۱۹۹۰
۲-اپل واچ مشکی ۴۲ میلیمتری در حد نو  و یک قاب محافظ ایواچ که ۷۰ ت قیمتشه  قیمت  ای واچ ۹۹۰
خودم دوتاشو باهم نزدیک ۴تومن خریدم",2,NA,mobile,1990000,Iphone 6s + apple watch 42mm,NA,NA
53701,True,Tehran,Saturday 11AM,گوشى بلک بری بسیار تمیز بدون هیچ خطى براى قیمت تماس بگیرید ممنون,2,NA,mobile,-1,Blackberry bold,NA,NA
53789,True,Shiraz,Wednesday 04PM,فروش تروتمیز فقط دوتا ضربه کوچیک داره همین,4,NA,mobile,730000,فروش اس 5,NA,NA
53796,False,Mashhad,Thursday 07PM,بسیار تمیز مدل تایوان,2,NA,web,750000,htc m8 16g,NA,NA
53819,True,Qom,Saturday 11AM,سلام گوشی یه لبه اش پریده خورده زمین ولی هیچ و عیب ایرادی نداری تمییزه سالمه  گارانتی داره ۹ماهی قیمتش خوب گفتم خیلی عجله هم دارم ممنون دیوارجان تایید کن گوشی a5 2016,0,NA,mobile,820000,سامسونگ رنگ گلد,NA,NA
54052,False,Isfahan,Friday 04PM,با سلام...یه گوشی نوکیا5800 سالم وترو تمیز به صورت توافقی به فروش میرسه..باتشکر,0,NA,mobile,-1,فروش نوکیا5800,NA,NA
54055,True,Qom,Wednesday 10AM,"سلام گوشی سالم و بدون عیب فقط شارژر ندارد کارتن هست و گوشی  بدون هیچ خط و خشی فقط به فقط‌تماس تقاضای تخفیفم نفرمایید.لطفا پیام ندهید چون جواب نمیدم فقط تماس 
ممنون از سایت دیوار",0,NA,mobile,115000,هواوی وای ۳۳۰ حتما بخونید,NA,NA
54132,True,Mashhad,Sunday 05AM,"این گوشی بسیار لوکس زیبااست
   بسیار تمیزسالم هست 
حتی گلس پشت هم داره معاوضه ندارم
16gigپارت نامبر llaهست  
تایه ماه دیگه vpnقانونی داره
لوازم کارتون هست فقط نقد معاوضه ندارم 
تماس بگیرین",4,NA,mobile,1100000,ایفون5sلاکچری نگینی,NA,NA
